name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"London,UK",2013-01-01,9.6,4.3,6.5,7.3,0.7,3.5,3.5,81.6,4.319,100,8.33,rain,0,0,,22.1,263.3,1007.9,21.9,37.7,46.9,4,2,,2013-01-01T08:06:13,2013-01-01T16:02:19,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-02,11,3.1,6.8,11,0.4,4.8,5.5,92,0.498,100,4.17,rain,0,0,,18.7,242.3,1023.3,75.3,22.8,12.9,1.1,1,,2013-01-02T08:06:05,2013-01-02T16:03:24,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-03,11.8,7.5,10.7,11.8,4,10.5,9.2,90.7,0.001,100,4.17,rain,0,0,,22,260,1032.9,89,25.2,28.2,2.5,1,,2013-01-03T08:05:53,2013-01-03T16:04:32,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,remote,03772099999,03770099999"
"London,UK",2013-01-04,11.1,8.6,9.9,11.1,6,9,7.4,84.4,0.298,100,4.17,rain,0,0,,20.4,266.9,1037.3,95,29.1,20.1,1.6,1,,2013-01-04T08:05:38,2013-01-04T16:05:42,0.75,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-05,10.8,8.1,9.4,10.8,5.7,8.4,7.9,91,0,0,0,,0,0,,17.7,248.7,1035.3,85.3,20.4,19,1.6,1,,2013-01-05T08:05:20,2013-01-05T16:06:55,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-06,8.8,7,7.8,7.6,5.2,6.5,7.2,95.9,0.001,100,4.17,rain,0,0,,13.4,223.7,1032.3,85.1,6.2,15.5,1.3,1,,2013-01-06T08:04:58,2013-01-06T16:08:10,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-07,9.6,7.1,8.3,7.8,5.3,6.2,6.9,91,0.299,100,8.33,rain,0,0,,17.5,204.8,1027,86.8,12.7,12.5,1.1,1,,2013-01-07T08:04:33,2013-01-07T16:09:28,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-08,11.3,9.1,10.2,11.3,7.2,9.4,7.9,86,0,0,0,,0,0,,18.7,213.8,1024.3,85.1,20,23.9,2.1,2,,2013-01-08T08:04:05,2013-01-08T16:10:48,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-09,9.5,2.3,7.6,8.9,2.3,6.6,5.8,88.8,0.511,100,12.5,rain,0,0,,12,357.7,1021.3,61.9,13.1,35.1,3,2,,2013-01-09T08:03:34,2013-01-09T16:12:10,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-10,3.6,1.5,2.6,2.6,-0.8,1.3,1.6,93.3,0.299,100,4.17,rain,0,0,,11.3,315.1,1015.9,77.6,7.1,18,1.5,1,,2013-01-10T08:03:00,2013-01-10T16:13:34,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-11,6.4,0.8,2.9,5.7,-0.6,1.8,1.8,92.1,0.299,100,4.17,"rain,snow",0,0,,8.3,16.2,1017.7,54.7,6.4,49.6,4.3,3,,2013-01-11T08:02:22,2013-01-11T16:15:00,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-12,5,2,3.8,1,-1.1,0.1,1,82.5,0.516,100,8.33,rain,0,0,,23.8,90.8,1012.9,70.1,15.7,7.9,0.6,0,,2013-01-12T08:01:42,2013-01-12T16:16:28,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-13,4.1,1.5,2.7,0.7,-2,-0.4,-1.7,72.4,0.002,100,4.17,rain,0,0,,17.2,25.7,1018.9,61,19.2,41.2,3.5,2,,2013-01-13T08:00:58,2013-01-13T16:17:57,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-14,3.6,-0.2,1.5,1.5,-3.2,-1.1,-0.5,86.7,0.52,100,8.33,"rain,snow",0,0,,19.3,245.9,1011.6,64.4,13.8,26,2.3,2,,2013-01-14T08:00:12,2013-01-14T16:19:29,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-15,2.6,0.1,1.8,1.6,-3.1,-1.3,-0.8,83.1,0.003,100,4.17,rain,0,0,48.2,24.4,334,1009.2,58.2,19.4,50.8,4.3,3,,2013-01-15T07:59:22,2013-01-15T16:21:02,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-16,0.8,-1.7,-0.6,0.5,-4.9,-2.1,-2.3,88.9,0,0,0,,0,0,,8.9,36.5,1013.4,79.4,4.2,47.3,4.1,2,,2013-01-16T07:58:30,2013-01-16T16:22:36,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-17,3.1,-3.2,0.3,3,-3.2,-0.7,-2.7,81.2,0,0,0,,0,0,,12.2,113.3,1017.5,79.2,13.7,53.3,4.7,2,,2013-01-17T07:57:34,2013-01-17T16:24:12,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-18,1.8,-1.7,-0.4,-1.4,-7.4,-5.5,-2.7,84.5,0.3,100,4.17,"rain,snow",3,1.7,,22.8,110.1,1003.9,84.4,8.2,18.8,1.6,1,,2013-01-18T07:56:36,2013-01-18T16:25:50,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-19,1.3,-0.4,0.5,-2.2,-5.2,-3.8,-1.6,85.3,0.996,100,8.33,"rain,snow",1.2,2.7,,21.6,54.2,997.3,81.7,8.1,38.4,3.3,2,,2013-01-19T07:55:35,2013-01-19T16:27:28,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-20,0.3,-0.9,-0.3,-0.2,-5.8,-4.1,-1.7,90.5,0.997,100,8.33,"rain,snow",0.7,4,,19.4,19.2,995,87.7,5.5,16,1.4,1,,2013-01-20T07:54:32,2013-01-20T16:29:08,0.28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-21,1.8,-1.7,-0.1,1.3,-4.3,-1.9,-1.7,89,2.988,100,8.33,"rain,snow",0,3.3,,8,204.8,994.6,70.1,9.4,49.9,4.3,2,,2013-01-21T07:53:26,2013-01-21T16:30:49,0.31,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-22,3.3,-3.5,0.8,-0.6,-5.3,-2.2,-1.1,87.8,1.003,100,4.17,rain,0,1.2,46.4,25.4,80.6,1001.5,57.2,8.9,22.3,2,1,,2013-01-22T07:52:17,2013-01-22T16:32:31,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-23,3.1,1.8,2.4,-0.5,-1.9,-1.4,-0.5,81.3,1.299,100,16.67,rain,0,0,,17.9,72.4,1007.7,66.3,8.1,36.6,3,2,,2013-01-23T07:51:06,2013-01-23T16:34:15,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-24,2.8,0.5,2,2.6,-2.8,-0.4,-1.7,76.9,0.001,100,4.17,"rain,snow",0,0,,19,50.8,1016.5,75.3,15,49.6,4.3,2,,2013-01-24T07:49:52,2013-01-24T16:35:59,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-25,3.3,-1.3,1.4,1,-4,-1.6,-2,78.1,0,0,0,,0,0,48.2,22.9,152,1014.5,84,17.6,39.8,3.4,2,,2013-01-25T07:48:36,2013-01-25T16:37:43,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-26,7.8,2.2,5.3,5.2,-1.9,1.9,3.1,86.3,0.03,100,12.5,rain,0,0,66.6,27.3,211.1,1006.5,68.4,16.1,69.4,6.1,3,,2013-01-26T07:47:17,2013-01-26T16:39:29,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-27,10.3,5,8.2,10.3,1.8,4.9,4.2,76.8,1.547,100,12.5,rain,0,0,66.9,40,227.7,998,58.7,24.2,67,5.6,3,,2013-01-27T07:45:56,2013-01-27T16:41:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-28,10.8,3.1,6.8,10.8,-0.7,3.9,4.3,84.4,0.502,100,4.17,rain,0,0,73.3,40.3,216.4,1005.6,64.8,27.7,37,3.1,2,,2013-01-28T07:44:33,2013-01-28T16:43:02,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-29,13.6,9.8,12,13.6,7.4,11.8,10.1,88.4,0.515,100,8.33,rain,0,0,64.8,37.2,225,1003.4,87.8,19.4,26.7,2.3,2,,2013-01-29T07:43:08,2013-01-29T16:44:50,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-30,12.8,7.6,10.3,12.8,3.9,8.8,6.2,76.7,1.057,100,12.5,rain,0,0,71.5,42.4,247.6,1007.2,48,26.9,67,5.7,3,,2013-01-30T07:41:40,2013-01-30T16:46:38,0.62,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-31,10.1,7.3,9,10.1,3.4,5.9,4.7,74.9,0.007,100,8.33,rain,0,0,66.8,38.7,243.5,1012.6,56,22.4,63.6,5.4,3,,2013-01-31T07:40:10,2013-01-31T16:48:26,0.65,"Rain, Partially cloudy",Clearing in the afternoon with rain in the morning and afternoon.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-01,8.3,4.6,6.4,5.6,3.1,4.3,3.9,84.4,6.1,100,8.33,rain,0,0,53.6,23.3,265.7,1002.5,62.2,26.7,46.4,4.1,2,,2013-02-01T07:38:39,2013-02-01T16:50:15,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-02,5.8,2.1,4.5,2.8,-1.4,1,-0.7,69.3,0.001,100,4.17,rain,0,0,48.2,25.2,333.4,1015.7,51.4,40.4,72,6.3,3,,2013-02-02T07:37:05,2013-02-02T16:52:04,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-03,9.1,0.3,5.1,7,-2.4,2.2,2.4,82.8,0,0,0,,0,0,,26.8,241.2,1019,88,35.1,15.3,1.3,1,,2013-02-03T07:35:29,2013-02-03T16:53:53,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-04,10.8,6.3,9.2,10.8,2.2,7.2,3.9,70.6,0,0,0,,0,0,64.8,31.7,264.1,1012.5,65.4,26.6,85.8,7.3,4,,2013-02-04T07:33:52,2013-02-04T16:55:43,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-05,6.8,2.3,4.7,2.6,-2.5,0,0,72.7,0.009,100,8.33,rain,0,0,68.4,36.9,259.6,1000.3,57.2,40,55.6,4.8,2,,2013-02-05T07:32:13,2013-02-05T16:57:33,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-06,6.3,3.3,5,2.9,-0.8,0.8,0.4,72.9,0.997,100,8.33,rain,0,0,61.6,29.2,337.1,1006.9,60.3,41,72.3,6.4,4,,2013-02-06T07:30:32,2013-02-06T16:59:23,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-07,6,1.5,3.5,3,-2.2,0.5,-1.9,68.6,0.299,100,4.17,rain,0,0,,20.6,302.4,1018.1,50.9,35.7,52.1,4.5,2,,2013-02-07T07:28:49,2013-02-07T17:01:13,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-02-08,6,1.3,3.6,3,-0.5,1.4,-0.3,75.9,2.986,100,8.33,rain,0,0,46.4,18.9,322.7,1019.5,65.3,18.1,83.7,7.3,4,,2013-02-08T07:27:04,2013-02-08T17:03:03,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
