Bank holidays,Type
26/12/2012,Boxing Day
25/12/2012,Christmas Day
27/08/2012,Summer bank holiday
06/05/2012,Queen?s Diamond Jubilee (extra bank holiday)
06/04/2012,Spring bank holiday (substitute day)
05/07/2012,Early May bank holiday
04/09/2012,Easter Monday
04/06/2012,Good Friday
01/02/2012,New Year?s Day (substitute day)
26/12/2013,Boxing Day
25/12/2013,Christmas Day
26/08/2013,Summer bank holiday
27/05/2013,Spring bank holiday
05/06/2013,Early May bank holiday
04/01/2013,Easter Monday
29/03/2013,Good Friday
01/01/2013,New Year?s Day
26/12/2014,Boxing Day
25/12/2014,Christmas Day
25/08/2014,Summer bank holiday
26/05/2014,Spring bank holiday
05/05/2014,Early May bank holiday
21/04/2014,Easter Monday
18/04/2014,Good Friday
01/01/2014,New Year?s Day
